"保健・体育Ⅴ","第３学年までに習得した「保健・体育」の基礎学力、および第４学年で学修した種々のスポーツ文化に対する知識や技能をいっそう高めるとともに、スポーツ文化の比較研究を通して、その多様性と具体的な取り組み方法について学ぶ。また、種目選択性を導入することにより、自主的に運動を楽しむ態度やそれに伴う社会的責任について考える力を養う。","なおいっそうの相互の協調性や社会性の向上をはかるために、班別対抗のゲームやクラスの希望に即した種目の実技指導を中心とする。"
"哲学","近代の科学的知識を含めて、知そのものを成り立たしめている世界の構造とは何か、またそれに対して人間自身の存在はどのような関係を有しているかについて、近代知の歴史的な流れに沿って考える。またこの軸の上に展開されている現代世界を見る新たな諸学を考察する。","人間の知的探求の発展過程、特に近代世界の原理となった理性的思考の道筋をたどる。そして現代世界に現れてきたその問題点に対して、さまざまな局面からアプローチを試みている応用諸倫理学を紹介する。"
"英語Vα","科学・文明論や時事・社会論、また、国際理解といった幅広い分野の英文を読むことで、幅広い視野に立った豊かな人間性を養うとともに、語彙、文法、構文等の英語の基礎知識に基づいた正確な読解力や要約力を身に付けると同時に、毎時間の英作文の課題を通して応用的な作文力も身に付けることを目標とする。","今回は目次の (UNIT 6) 科学・文明論、 (UNIT 7)時事・社会論、(UNIT 3) 国際理解の順に読んでいくこととする。授業の初めに英作文の課題を与え、解答させる。"
"英語Ⅴβ","この講義の目的は、TOEICの点数を上げる事である。学生が高等教育終了後、社会生活するうえで不可欠なTOEIC対策を行っていく。学生は各自、TOEICを受験し、高得点を獲得する覚悟で望んで欲しい。この対策では、発せられる英語（読む英語、聞く英語）に畏縮することなく、発する英語（話す英語、書く英語）に自信を持ち、英語を利用することで、論理的科学的に自分自身について表現する能力を高めることにつなげる。","上記目的を達成するために、必要不可欠な量を克服する。授業時間を３分割(Listening Tests, Grammar Tests, Reading Tests)して行う。学生は、主にテストを受け、担当者の解説が中心となる。学生自身が必要とする英語表現に出会い、一つでも多く英語での自己表現の方法を蓄積していって欲しい。自分で学ぶ習慣をつけることを忘れないで欲しい。このTOEIC対策には、英語を学ぶ上で重要な事項が多いので、一つでも多く蓄積していって欲しい。映画や音楽教材もTOEIC対策として利用することで、英語でのものの考え方（TOEIC受験テクニックとして重要）を培っていきたい。"
"英語 V γ","英語を学ぶ上で重要な点が満載の短文を暗誦します。そうすることで、英会話の力をつけるだけではなく、英語運用能力全般の力の向上をめざします。","毎回プリント等を配布しながら、英語の短文の内容を理解した後で、それを暗誦できるように授業中に一緒に練習しましょう。暗証をすることで、日本語を見ればそれに相当する英文をさっと口に出すことができるようになり、書くことができるようになります。英会話のみならず、英作文、購読等英語力全体の力をつけましょう。"
"独語Ⅱ","基本的なドイツ語文の理解を通じてドイツ語によるコミュニケーション能力の基礎を完成する。
また、あわせて異文化理解の心構えを学ぶ。","４年次「独語Ⅰ」で学んだ文法事項に引き続き、基本的なドイツ語の文法事項を学習する。
次いで、簡単なドイツ語の文章を読み進める中で文法知識の確認をはかるとともに、語彙を増やしていく。"
"法学","将来、技術者として働くことを念頭に、契約や事故、犯罪、結婚、親子関係、就職等の社会一般の出来事について知識を得るとともに、法律の基本的な概念・原則を学習していく。併せて、実際にトラブルが起こったときに対処できる知恵や行動力を身に付けたい。","教科書とプリントによる講義で基礎的な知識を得る。
その他、視聴覚教材、グループワークを通して考察を深める。なお課題・レポートの提出を求める。"
"経済学","現代社会の動きは、経済の動きによって最終的に決定されている。
この経済の現実の動きを、経済理論をもとに考える。","経済理論を日常生活との関連を考えながら、わかりやすい「入門の入門」という本を使用する。"
"実用英語Ⅲ","従来のカリキュラムでは評価していなかった外部の資格試験に対し、学生の資格試験への取り組み及び積極的な受験を促し、英語学習への意欲を高め、主体的、創造的な学習態度を育成し、学生の優れた英語能力を一層伸ばすことを目的としている。","技能審査の成果の単位認定については、教育課程編成の多様化・弾力化の一つの方策として、平成５年３月の学校教育法施行規則の改正により、制度化された。この制度の円滑な実施を図るために、選択教科・科目の幅を拡大して、多様で弾力的な教育課程を編成している。学校外での学修を30単位を超えない範囲で当該高専での授業科目の修得とみなし、単位の修得を認定することが可能となった。そして実用英語技能検定試験（実用英検）などについて、自主的判断に基づき単位が認められることになった。"
"システム工学","情報社会における事象を科学的に解析する技法を学ぶ。システムを開発・運用する上で必要となる基礎知識を習得することを目標とする。","システムを抽象的に捉えるモデリング、シミュレーションとシステムズ・エンジニアリング（SE）の技法と基礎知識を学ぶ．"
"数値解析","本授業は自然科学分野や社会科学分野において必要とされる計算機(コンピュータ)を使用した標準的な数値計算法と数値データ解析法の理論と利用に対する知的好奇心の触発、学習意欲の喚起、体系的知識の習得、本質的理解の定着、問題解決能力の育成をそれぞれ図ることを目的とする。","数学理論や計算アルゴリズムの解説を中心とした講義形式の授業を行うが、適時、問題練習や小テストを実施する。プログラミング言語およびプログラミング技法に関する詳細な事項は取り扱わないが、数値計算ツールScilabを使用する基本的な課題演習も適時実施し、レポート報告させる。また、夏季休業期間と冬季休業期間には応用的な課題演習を出題し、レポート報告させる。"
"オートマトン理論","コンピュータによる計算の原理を論理的に理解するための知識（オートマトン理論）、および実行させたい計算の手順を表現するための「形式言語理論」を習得することを目的とする。","情報科学一般において最も中心的な概念である「オートマトン」と「形式言語」について講義する。扱う内容は数学的なものであるが、具体的な問題を形式的・抽象的に定式化する能力を養ってもらいたい。"
"計算機ネットワーク","計算機ネットワークの基本的な概念や技術を習得することを目的とする。","シスコネットワークキングアカデミーのe-learning教材を用いて講義を進める。このe-learning教材はWebベースで、音声、アニメーションを含んだ自学自習も可能な教材である。前期は知識中心、後期はシミュレータを用いた演習中心。"
"集積回路","集積回路（VLSI）は電子情報通信機器の高性能化や小型化・省電力化に不可欠な要素である。
本科目では，集積回路について動作原理、基本回路、技術ロードマップなどの習得を目的とする。","集積回路の基礎である半導体デバイス原理と基本素子、論理回路の構成方法から、
メモリやプロセッサ、SoCなど今日のVLSI技術に発展させた内容で講義を行う。"
"信号処理","近年，様々な媒体による情報伝達が盛んに行われている．しかしながら，伝達する情報が増えるほど，その処理時間は増大の傾向にある．このとき，従来のアナログ信号をディジタル信号に置き換えることで，数多くの恩恵を我々にもたらしてくれる．この恩恵は，どこで得られているのだろうか，また，どのような理由から恩恵がえられているのだろうか？その謎を明らかにしながら，ディジタル信号に対する一般的な処理手法について教授するとともに，パソコンを用いて信号解析をすることができる能力を身につける．","連続的信号についての物理的な側面からのアプローチとして，周波数スペクトルの概念を情報理論で学習し，その次のステップとして具体的に工学的なデータの取扱いおよび処理方法について講義を進行する．前期では，信号処理に必要な数々の手法と予備知識を高め，後期において実際の処理の手法とその技術の修得をめざす．また，Microsoft Excelを用いて信号処理の実習を適宜行うので，基本的な使用方法を学んでおいてもらいたい．とはいえ，難しい内容ではなく，実際に信号処理を実習しながら講義を進行するため，手法の修得のために根気よく積極的に学習してもらいたい．"
"工業外国語","技術者として必要な英語による科学・技術文献等や各種資料を理解する。
英語による技術発表の実践能力を身につける．","授業は，日本人講師による講義・演習と、外国人講師によるトピックスの２つの形式で行う。
シラバスでは、前半が日本人講師、後半が外国人講師としたが、随時調整を行うものとする。
授業では、講義のほか演習ではグループディスカッションと発表を取り入れる。
各自ノートをとり、積極的に発表すること。"
"卒業研究","指導担当教員の研究室に配属し，与えられた研究テーマについて調査・研究活動に取り組むことで，情報工学関連分野において研究や実務を遂行するために必要な実践的な技術や能力を習得する．","・衛星リモートセンシングと無線データ通信技術に関する研究（浅井）
1) 地球観測衛星NOAAとFeng Yun-1Dの画像データを教育利用するためのWeb公開システムの開発を行う．
2) 無線データ通信技術教育のためのワンチップマイコン搭載ワイヤレスデータ通信ユニットの開発を行う．
・インタラクションにおける学習エージェントに関する研究（山口 智浩）
1） 強化学習：Agentの学習機能の理論拡張．2）HAI*学習：人(Human) Agent間のインタラクション研究．
3) 音楽情報検索*HAI：人が受ける印象に基づいて，あらゆる楽曲を分類・検索可能とする技術の研究．
・グリーンICTを目指した省電力ルータとネットワークの研究（井上）
・省電力型パケットヘッダーの検索と解析についての研究． 
・Deterministicなスイッチングとキューイングシステムの研究．
・情景画像中の文字情報の抽出および認識に関する研究（松尾）
パターン認識，画像処理，知識データベース，統計処理などの研究分野としている．情景画像における重畳文字の分離，文字情報以外の領域除去，文字情報の抽出と認識等のテーマを研究している．
・ネットワークに関する研究（本間）
1) ネットワークセキュリティに関する研究，2) 無線LANに関する研究．
・VLSI,SoCのテスト容易化設計に関する研究（山口 賢一）
VLSI,SoCなど大規模集積回路の欠陥を容易に検出することのできる設計アルゴリズムを提案し，実験等によりその有効性を評価する．
・ソフトウェア工学に関する研究（内田）
ソフトウェア工学を研究分野としている．ソフトウェアの生産性や信頼性を確保するために，エンピリカルアプローチ（計測，定量化，評価，結果のフィードバック）の実践を試みる．
・音声情報処理に関する研究およびアプリケーション開発（松村）
1) 音声分析，音声認識，話者認識をテーマとし，音声情報処理の研究を行う．
2) 幼児，小学生向けの学習用アプリケーションの開発を行う．
・情報保護技術に関する研究（岡村）
暗号技術等による情報秘匿，改ざん検出，認証認可の各種手法についての研究を行う．
・ソフトウェアにおける人的要因に関する研究（上野）
1) ソフトウェア開発における人的要因（開発者の能力や慣れ）を分析するための実践的な計測を行う．
2) ソフトウェアのユーザビリティ（使いやすさ）の定量的評価を行うための計測を行う．
・非同期式回路の設計とテスト（岩田）
非同期式回路設計、性能評価、コンピュータ援用設計ツールの開発、テスト手法の提案、故障モデルの定義など、非同期式回路設計の基盤となる研究を行う．"
"人工知能","人工知能とは, 知的システムの設計や構成に関する研究分野であり, さまざまな工業製品や情報システム, サービスに応用されつつある.本講義は,人工知能研究のこれまでの成果について理解を深め,最新の応用技術を学ぶための基礎知識を培うことを目的とする.","人工知能研究に関する歴史を概観した後, 問題解決や探索などの基礎的概念の習得を目指す. その後, 学習や進化的計算, エージェントなど代表的な応用分野を紹介する."
"計算機設計","集積回路技術の進歩により, 計算機（コンピュータ）は高性能化・高機能化し, その応用分野はますます広がっている. 特に近年, 携帯用の情報通信端末が急速に普及し, コンピュータの小型化・低消費電力化は重要な課題である. 本講義ではこのような進展著しいコンピュータの設計方法の基礎について学ぶことを目的とする.","講義の前半はハードウェア記述言語Verilog HDLを用いた回路の基礎的記述法について学ぶ.後半では習得したVerilog HDLの記述法に基づき, モデルコンピュータを例として取り上げ,CPUの設計法を学ぶ."
"ソフトウェア設計","コンピュータソフトウェアを対象として，その生産性と品質の向上を目標とするソフトウェア工学の基礎知識について習得させる．","ソフトウェア工学における基礎的な知識について学習する．「プログラミング」の段階から発展し，「ソフトウェア開発」の視点に立ち，生産性が高い高品質なソフトウェアを開発する方法論・技法を学ぶ．また，理論だけで終わらないために，演習を通じてソフトウェア開発技法の習得を修得することを目指す．"
"パターン情報処理","本授業では，計算機による情報の取得・認識・理解のために必要となるパターン情報処理の基礎について理解することを目的とする．","パターン情報処理の中でも認識を中心に，現在広く使用されている手法について具体例を挙げながら解説し，理解を深める．"
