"人文科学総合Ⅰ","（木村担当分）現代社会を多面的に考察していく社会科学的な視点を養い、これを的確に表現・伝達できる論理的な能力を育成する。
（鍵本担当分）さまざまなメディアが発達した現在こそ、基本である「言葉による表現」ということを見直す必要がある。日本語による表現能力（書く・話す・聞く）を養成する。","（木村担当分）人間存在の捉え方を中心に、思想とは何かを歴史的な視点から考察する。
（鍵本担当分）さまざまな種類の文章を実際に書きながら、文章についての基本的な知識を身につける。また文書の形式を学びながら、よりわかりやすい表現について考える。"
"体育実技Ⅰ","第３学年までに習得した保健・体育に関する基礎的な学力をもとに、主として実技とレポート作成を通して種々のスポーツ文化とその重要性について学ぶ。","実技でとりあげる種目は「ボールゲーム」を中心とする。あわせて「スポーツ文化論」についての講義も実施する。できるだけ多様なスポーツ種目を体験することで、文化としてのスポーツについて考える。"
"英語IV","この講義の目的は2つある。１つは、TOEICの点数を上げる事である。学生が高等教育終了後、社会生活するうえで不可欠なTOEIC対策を行っていく。２つめに、英語論文の要約が読める構文力を身につける事である。
発せられる英語（読む英語、聞く英語）に畏縮することなく、発する英語（話す英語、書く英語）に自信を持ち、英語を利用することで、論理的科学的に自分自身について表現する能力を高める努力を学生に求める。","上記目的を達成するために、必要不可欠な量を克服する。学生自身が必要とする英語表現に出会い、一つでも多く英語での自己表現の方法を蓄積していって欲しい。自分で学ぶ習慣をつけることを忘れないで欲しい。
基礎的な語彙の習得とともに、短時間で十分な英文量が読めるようになることを目標としている。また、TOEIC対策では、英語を学ぶ上で重要な事項も多いので、一つでも多く蓄積していって欲しい。英語話者が何を英語で考えながら話しているのか（これがTOEIC受験テクニックとして重要）を考える事で、コミュニケーションに役立つ生きた英語を身につけ、また、今後彼らが出会うであろう学術的な英語へと結びつけていきたい。"
"英文読解 III","本講義の第一の目的は、TOEICの点数を上げる事である。学生が高等教育終了後、社会生活するうえで不可欠なTOEIC対策を行っていく。
具体的にはそのために必要な語彙力および文法力をつけながらリーディングストラテジーを身につける。また、TOEIC レベルの内容の英文を理解できるリスニング力を身に着けることを目標とする。","上記目的を達成するために、必要不可欠な量を克服する。学生自身が必要とする英語表現に出会い、一つでも多く英語での自己表現の方法を蓄積していって欲しい。自分で学ぶ習慣をつけることを忘れないで欲しい。この TOEIC 対策には、英語を学ぶ上で重要な事項が多いので、一つでも多く蓄積していって欲しい。英語話者が何を英語で考えながら話しているのか（これが TOEIC 受験テクニックとして重要）を考える事で、コミュニケーションに役立つ生きた英語を身につけ、また、今後彼らが出会うであろう学術的な英語へと結びつけていきたい。"
"独語Ⅰ","必要最小限の文法規則と語彙を体得することによってドイツ語によるコミュニケーション能力の基礎を身につける。","ドイツ語の文法規則を１８課に分けてわかりやすく解説し、あわせて語彙（単語）の知識を増やしつつドイツ語の表現を学ぶ。そして自分の考えていることをドイツ語で相手に伝える術を身につける。"
"実用英語Ⅱ","従来のカリキュラムでは評価していなかった外部の資格試験に対し、学生の資格試験への取り組み及び積極的な受験を促し、英語学習への意欲を高め、主体的、創造的な学習態度を育成し、学生の優れた英語能力を一層伸ばすことを目的としている。","技能審査の成果の単位認定については、教育課程編成の多様化・弾力化の一つの方策として、平成５年３月の学校教育法施行規則の改正により、制度化された。この制度の円滑な実施を図るために、選択教科・科目の幅を拡大して、多様で弾力的な教育課程を編成している。学校外での学修を30単位を超えない範囲で当該高専での授業科目の修得とみなし、単位の修得を認定することが可能となった。そして実用英語技能検定試験（実用英検）などについて、自主的判断に基づき単位が認められることになった。"
"応用数学α","３年生までに学習した内容についてより一層理解を深め，専門科目との橋渡しをする。さらに専門科目で習った事柄の補充を行う。","複素数の復習から始めて，まず複素数の演算と複素平面の関係を調べる。基本的な関数を複素数に拡張して，その微分・積分を行う。特に留数定理を実関数の積分に応用する。後半はフーリエ級数およびフーリエ変換を学習する。"
"応用数学β","・統計の初歩を学習して、実験のデータの処理についての理解をより一層高める。
・ラプラス変換の基礎を理解する。","・最初に確率論の基礎的な概念を学習する。特に二項分布、ポアソン分布、正規分布について学習する。後半では統計的手法を用いて推定、検定を学習する。
・ラプラス変換の基本的な考え方と計算手法を学ぶ。"
"応用物理II","4年次は、3年次までに学習したことをより一層発展させ、5年次になって本格的な研究を行うための準備期間として重要な時期である。そのような時期にあたっては、専門科目の基礎である科学の基本法則をより高度な数学的知識を用いて学ぶことは不可欠であり、また、そのような学習を通して自分自身の理解力や洞察力を高めることは、「技術者が責任ある行動や決断を行う」ことの基礎を築くためにも必須である。以上を踏まえ、本講義では、あらゆる物理学の基礎である力学を中心に、波動現象および現代物理学の講義を行い、それらの①数理的理解（数式、特に微分積分を用いて基本法則を理解すること）、および②系統的理解（物理学的理解が自然界のいろいろな現象を統一的に説明すること）を行うことを目標とする。さらに、“科学法則の理解”が単なる問題の解答を見つけることとは完全に異なるものであることを理解し、創発的思考や、自ら間違いを訂正する能力を訓練してもらうことも目標としたい。","4年次の応用物理では、力学（座標変換、運動量／エネルギー保存則、質点系／剛体の力学、流体）を中心に、波動現象、及び現代物理学の講義を行う。特に、それらを共通に貫く数理的理解、ならびに物理概念の系統的理解を念頭においた講義を行う予定である。"
"プログラミングⅢ","プログラミングⅠ，Ⅱで学んできたオブジェクト指向プログラミング言語Javaと手続き型のプログラミング言語であるC言語の違いを理解したうえで、C言語で簡単な仕様に従って、自分でプログラミングが行えるようになることを目的とする。","１．手続き型プログラミング言語の役割、位置づけについて学ぶ。
２．C言語の文法とその使い方を演習課題によって学ぶ。
３．C言語を用いたソフトウェアの設計について学ぶ。"
